지역,차량 수
서울,3270
부산,2115
대구,673
인천,2324
광주,1253
대전,1812
울산,2951
세종,500
경기,7970
강원,2731
충북,2235
충남,1707
전북,2556
전남,1177
경북,508
경남,2955
제주,50
계,36787
