Unnamed: 0,Unnamed: 1,Unnamed: 2,<,연료별,차종별,용도별,등록현황,Unnamed: 8,>,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
조회년월:,2018.09,,,,,,,,,,,,,,,,,,,
연료별,시도별,,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계
,종별,용도별,,,,,,,,,,,,,,,,,,
휘발유,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,승용,비사업용,1571843,630978,551964,596907,287769,319832,275968,71235,2611418,318683,344919,461352,360262,340117,600786,773077,159974,10277084
,,사업용,19299,13114,1802,104469,1341,1349,1075,43,13360,1336,1415,1947,3154,37264,1328,12126,59618,274040
,,계,1591142,644092,553766,701376,289110,321181,277043,71278,2624778,320019,346334,463299,363416,377381,602114,785203,219592,10551124
,승합,비사업용,1017,257,242,224,94,117,69,17,1151,126,125,157,142,152,252,259,73,4474
,,사업용,39,3,0,2,0,1,1,0,18,1,1,0,5,0,0,1,4,76
,,계,1056,260,242,226,94,118,70,17,1169,127,126,157,147,152,252,260,77,4550
,화물,비사업용,1800,506,538,455,235,273,219,49,2507,439,375,544,541,588,855,820,218,10962
,,사업용,1,2,0,1,0,0,4,0,5,1,0,1,0,0,5,0,0,20
,,계,1801,508,538,456,235,273,223,49,2512,440,375,545,541,588,860,820,218,10982
,특수,비사업용,18,5,0,9,0,2,1,0,7,0,0,2,1,2,2,2,1,52
,,사업용,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,4
,,계,18,5,0,9,0,2,1,0,10,1,0,2,1,2,2,2,1,56
,소계,비사업용,1574678,631746,552744,597595,288098,320224,276257,71301,2615083,319248,345419,462055,360946,340859,601895,774158,160266,10292572
,,사업용,19339,13119,1802,104472,1341,1350,1080,43,13386,1339,1416,1948,3159,37264,1333,12127,59622,274140
,,계,1594017,644865,554546,702067,289439,321574,277337,71344,2628469,320587,346835,464003,364105,378123,603228,786285,219888,10566712
경유,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,승용,비사업용,729735,322373,284145,363473,161497,155853,144851,38791,1423116,186003,192458,258736,219539,211280,301946,384100,82088,5459984
,,사업용,12988,12739,1678,90664,1618,1221,583,74,7327,997,1364,1786,2986,36885,896,12253,58146,244205
,,계,742723,335112,285823,454137,163115,157074,145434,38865,1430443,187000,193822,260522,222525,248165,302842,396353,140234,5704189
,승합,비사업용,86811,33807,24567,36324,15997,17315,11938,3392,163163,24309,24704,34570,26776,29275,39692,42937,10606,626183
,,사업용,7593,3348,2498,9673,1465,965,1256,300,24861,2867,3311,5125,3695,7281,4808,6434,7514,92994
,,계,94404,37155,27065,45997,17462,18280,13194,3692,188024,27176,28015,39695,30471,36556,44500,49371,18120,719177
,화물,비사업용,253263,149327,136655,149274,75517,72124,58838,13304,637669,140641,138059,194900,165933,211624,281805,256465,72296,3007694
,,사업용,49769,20373,17520,20186,10436,10052,6372,1368,97300,7362,11111,14446,13136,14027,18583,20069,3204,335314
